,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
108,"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",-2.0837924967383348,-3.482744432694851,0.8508287732943876,-0.01566225026631285,1.361702247969876,0.9488327964959797,1.3321864022355356,2.040280113773796,1.00338078920843,1.015632000163491
109,"Otel, pansyion vb. yerlerde konaklama hizmetleri",26.961116466686597,21.122072948792002,14.402989633435004,23.884179319904764,12.880780136501313,10.006323317278444,5.425368365200667,-5.401288802691995,-5.762782756055785,-6.779540610918621
110,Erkekler için kuaförlük hizmetleri,-0.008223554685815593,6.577960427209928,18.58536162760189,0.0,0.0,0.0,2.3921639347153523,11.681381869420093,2.6833333333333043,0.20858693009618845
111,Kadınlar için kuaförlük hizmetleri,3.9035938592681285,17.53058674568484,-9.894262116577634,5.355306031811957,11.696222319456595,1.4444233402352236,1.9340999966336758,5.699343917010369,0.7169574333481643,-1.1102230246251565e-14
112,Kişisel bakımda kullanılan elektrikli aletler,7.430801438078838,2.9871090924155075,1.6972016657612832,2.194195918783004,0.1073494683467624,-1.2435408070161302,1.7686384960765134,1.8204504882292527,1.58158092624201,-0.8997461560806941
113,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",5.774023688333418,3.1058012671331126,0.7679652494775091,0.15484724132550642,0.554316929400489,0.8658390882878786,1.219481369454023,0.6173704032752969,0.9724972168356549,-0.22205364515952564
114,"Mücevheratlar, saat ve kol saatleri",7.544532040460705,5.375771440877708,10.643287310429006,5.259767606702126,1.9398957194061817,1.710017279091236,1.8288373266604374,6.158871945105093,14.090861599038295,2.8770254279835816
115,Seyahat malzemeleri ve diğer kişisel aksesuarlar,5.78304919670698,7.308207545699497,1.8781504688648587,0.05175438148428135,0.46965987926668173,1.341510952452185,0.22607191124004444,2.1240180661185715,3.572245658189077,0.4912668234636042
116,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,6.627499016421434,2.475177879003221,0.8704496673884288,1.233309787900816,0.23490233793312942,1.2572987982735429,2.142071661773115,0.16935576313814593,4.0396762311637024,-1.7097269130090798
117,Başka yerde sınıflandırılmayan diğer mali hizmetler (para havale ücreti vb.),-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-14
