,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
71,Elbise (Çocuk için),5.495752266547482,6.03610362510667,-0.37352088941779993,-2.7201765852150728,-3.552948495907593,-1.3952927967011197,-4.243041752109167,1.2377588978871312,-2.815306795104622,-4.443258673754691,0.5394570257154729,2.6111436997940274,1.1494469367166027
72,Elektrik Ücreti,10.7,0.0,20.833333333333325,3.44827586206895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.500000000000017
73,Elektrikli Kesici Aletler (Blender),5.624298351147394,1.9759979960450202,0.93489753749052,1.6012031053177722,0.5708223011339664,0.2606254586146939,1.3144864021399139,1.7411616177304357,1.2355540826371136,-0.12587431014789985,1.8129351064278376,1.2975071322818943,0.629743890730472
74,Elektrikli Küçük Ev Aletleri (Tost Makinası),6.257519870145312,1.496175768693786,1.5346887386683328,1.2455288109040286,0.10114237275482552,-0.3684162511418676,0.7530467498896076,0.666224739113308,1.6065525538150771,0.613178453404184,-0.27278867177047417,2.7397731368350886,1.1963859031861923
75,Elektrikli Saç Bakım Aletleri,7.4308014380787935,2.9871090924155297,1.697201665761372,2.194195918782982,0.10734946834685122,-1.2435408070160747,1.7686384960765356,1.8204504882293193,1.58158092624201,-0.7573601615826209,1.8375213914934685,2.829122315159771,0.4347066318436843
76,Elektrikli Süpürge,1.9544856566717783,2.7315470386857665,-0.4418427659350854,0.2940714482215778,0.4269923734587122,1.9456881892102817,2.6801191744006303,1.1439739488000145,1.0502570613234008,-1.2124571512075244,2.2726727589823748,1.8223533184873242,-0.09293357609925224
77,Elma,1.186159328422165,1.8626044599141744,7.648732358599575,21.813183861418306,8.564726254927702,3.670616442580399,4.10258701244075,0.5348679674461954,-1.008712919355581,2.317368706842182,0.3433063374427725,5.6733402573266645,-0.6882359458196097
78,Erkek Berberi,-0.008223554685826695,6.577960427209928,18.58536162760187,0.0,0.0,0.0,2.3921639347153523,11.681381869420093,2.6833333333333265,0.11361791916897346,0.0,19.645955451050146,0.7537593007202137
79,Erkek Mont,2.226742140151128,5.752756052276786,0.8235170009595505,0.03035731673448616,1.316635776123598,1.8681071905485958,-4.410383196651912,1.5733510474592372,64.38577345331484,0.29646475167977027,1.5094505962153892,2.906146214796701,-7.7220366204238164
80,Etek,4.224047902685246,6.069948224646304,-0.4182671040148134,-1.4790391229641653,0.12997342819023316,-0.06401457452426262,-3.6300815658712016,0.6579275681016794,1.0639343561425818,1.2204875163207118,1.6741327953471163,1.2679867529410416,1.1450651852229932
81,Evcil Hayvanlar İçin Gıda Harcamaları,1.526498709209645,-0.7441508841845801,-0.15203013263601628,0.405051466821682,0.43988310114502216,1.2407559827628312,1.1618585444908458,1.5438671946301552,0.8969222805541799,-0.26357167606988474,0.2946197884214241,2.585517895767331,2.4164303249468833
82,Eşarp,4.678725814993134,4.991480724065522,2.2998376595951386,0.06545786786591457,0.5958021880694275,2.2087552245722897,-0.022124861774230897,1.9911734379428836,0.23939591289741102,-2.2831667517412613,6.374376559111106,-0.8319103949523177,3.966708292519061
83,Eşofman (Erkek için),5.868632528979334,8.707352519365518,0.37907447270100203,-2.3933261878360312,0.36361735867040945,-0.19026579500641683,-4.57872344409801,3.635986547100134,4.682688854050876,-2.7087804772406687,1.8287259809933287,2.765394251220421,-6.167020002513346
84,Eşofman (Kadın için),5.06969989570254,9.520932489180645,0.8502372381451018,-1.1939659808366976,-0.837663303109637,0.15256810769352924,-3.8874653304733053,3.0760477829166577,3.2841893851377035,-2.6189428694847527,0.6145078721203623,3.256379238899343,-3.1104248073682674
85,Eşofman (Çocuk için),0.26658924528795147,9.007100538621016,2.0623196744430805,0.9588973399391243,0.5472937548625323,-1.568403042598554,-7.441934878001987,4.239287623547128,4.153369131411622,-4.545838713225359,1.9993325693929087,1.2176291731539113,-4.947016006044075
86,Fındık Ezmesi,8.954369543710804,4.479775680779685,1.6590080801715645,4.55622936407778,4.979371748872841,4.5028821248982,5.190740629428547,0.4128653968823448,5.5958963844440435,8.003128963999018,4.902793650615855,4.5772070774641405,-2.2980686663031435
87,Fındık İçi,2.70725544561079,1.1995514528871043,1.2765491040002352,8.682817590153658,7.78553507773927,1.5366610904467226,5.641185416292105,17.562236333152438,14.87456097216624,9.022583522924798,5.271655158649402,-1.3354672535599188,0.6212652989749268
88,Gazoz Meyveli,5.056477213636712,1.464799777733372,1.3915385666290137,3.0180673208032083,2.376229240604366,0.6830648487394564,2.9478841538758127,3.5939455984698387,3.3094079350065364,3.047115106646192,2.08667046461104,2.7733061648798962,2.4194580316049485
89,Genç Odası Takımı,3.5008062767738934,2.1162530924037304,2.055705555808518,0.7273013545444851,1.2082690419670694,0.6494454727871135,1.9810680344374276,3.865705724300006,1.6632884096115186,0.6980217807523781,0.5202831137216535,4.827398246984815,3.935669899869454
90,Gofret,7.252358962573857,4.03094703110225,1.5451074550641763,1.5068146408552918,0.17543677068974084,1.7506977083188602,3.442039247786899,-0.35217440956506474,3.0185502022564314,2.025442249786602,0.5606089419945448,3.6421612316619667,1.6170882871707426
91,Gömlek (Erkek için),4.6842439924495105,6.946163872836952,2.033160591337979,-2.092439232021437,0.7481929179592228,2.4689517816711692,-2.7989931498769494,1.5560936803494574,4.979332834335493,0.19324725394942455,-0.8725906441261255,3.8119045630282455,-11.503762134382235
92,Gömlek (Kadın için),5.799580713330443,7.062454260014328,0.9353900255994363,-1.2834324350578297,0.2998646150696338,0.05692030701280881,3.0378520116212337,1.8150797016517561,3.4795651151540596,3.99725708644727,0.38786864140381017,2.0784257478774215,-0.9084321026163467
