,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,Web TÜFE
2025-03-01,111.15844789133696,111.10207003181796,117.8710968295296,105.7554368608635,111.68580410203168,108.92527159807086,97.7128198412124,110.51638587937938,103.69910489053088,122.3764659665578,104.88859383894896,110.09448171269848,108.61787325338275
2025-03-02,111.15844789133696,111.11515826545929,117.8710968295296,105.6540698251298,111.72042021241904,108.90458781104051,97.75157591702325,110.55319425806324,103.8029750132209,122.3764659665578,104.8885552482923,110.04016649160585,108.62830773194818
2025-03-03,111.15844789133696,111.09765025981676,117.8710968295296,105.69933836227158,111.7522521320564,108.89508321342728,97.81923537831226,110.64513683619568,103.3724917693191,122.3764659665578,104.88707628738192,110.08132790364836,108.60863420055934
2025-03-04,111.15844789133696,111.1518620283346,117.8710968295296,105.79089330065624,111.87905831915954,109.33809233822878,97.76063675994553,110.93254116796952,105.12201095996024,122.3764659665578,104.6890023106855,110.31828726881204,108.92936466860218
2025-03-05,111.15844789133696,111.30134567296255,117.8710968295296,105.79259806274746,112.08157084149552,110.35153702928868,97.7730269103812,110.99129892789476,105.20106693757936,122.3764659665578,104.6828124366572,110.44964197844791,109.26428487262152
2025-03-06,111.15844789133696,111.22253154869888,117.8710968295296,105.72127384450812,112.12141464908468,110.51535297992262,97.7281096467298,111.17349076850638,105.33563602055148,122.3764659665578,104.46379868859586,110.52187087814735,109.3182980569714
2025-03-07,111.15844789133696,111.26971033930194,117.8710968295296,105.659535745282,112.08214142738052,110.38715998705028,97.64067523572648,111.32712167989636,105.71930418870002,122.3764659665578,104.08622634509554,110.50648524626888,109.28523599415522
2025-03-08,111.15844789133696,111.23607395412525,117.8710968295296,105.5690161541339,112.0460571162102,110.61137931639132,97.67193768913154,111.30255338062533,105.33322827139736,122.3764659665578,104.11877891934265,110.47811456726194,109.30768347097909
2025-03-09,111.15844789133696,111.32466634740707,117.8710968295296,105.54243347045302,112.04117982152638,110.56692628695174,97.6666713934197,111.34144457633433,105.48249295659257,122.3764659665578,104.08255476193948,110.45839250860344,109.3149794704424
2025-03-10,111.15844789133696,111.43430771071291,117.8710968295296,105.64680910354404,112.08908518430242,110.45183687845147,97.67302630889353,111.42930101585924,105.70619054824074,122.3764659665578,103.99112155577724,110.50517242120334,109.32087409370948
2025-03-11,111.15844789133696,111.51996291094696,117.8710968295296,105.82876698564294,112.10732766226704,111.2024250449043,97.6065372168116,111.52883307585142,105.49347990140136,122.3764659665578,104.0100414610999,110.6003032112805,109.54539080192563
2025-03-12,111.15844789133696,110.78221025487942,117.8710968295296,105.44187372310924,111.05006775695288,111.69922769825769,97.56945598528564,111.66851969114713,105.53851082723313,122.3764659665578,104.44560346847268,110.33579161916,109.6064081246887
2025-03-13,111.15844789133696,110.37863481769284,117.8710968295296,105.34421845478708,110.53264845262784,111.74023573506436,97.5278398296792,111.73370116469393,105.74755220140052,122.3764659665578,104.4734865469355,110.30444733773383,109.57143992401534
