Ürün,Eski,Grup
Diğer Kırtasiye Malzemeleri,Eğlence ve kültür,Kırtasiye malzemeleri
Yurtiçi Haftasonu Turları,Eğlence ve kültür,Paket turlar
Yurtiçi Bir Hafta ve Daha Fazla Süreli Turlar,Eğlence ve kültür,Paket turlar
Yurt Dışı Bir Hafta ve Daha Fazla Süreli Turlar,Eğlence ve kültür,Paket turlar
Hacca Gidiş Ücreti,Eğlence ve kültür,Paket turlar
Umreye Gidiş Ücreti,Eğlence ve kültür,Paket turlar
Özel İlköğretim Ücreti,Eğitim,Okul öncesi eğitim ve ilköğretim
Özel Lise Ücreti,Eğitim,Orta öğretim
Özel Üniversite Ücreti,Eğitim,Üniversite eğitimi
Çorbalar,Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
"Hazır Yemekler (Pilav, Kuru Fasulye)",Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Kebaplar,Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Pideler,Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Çiğ Köfte,Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Ekmekarası Yiyecekler (Döner),Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Burgerler,Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Pizzalar,Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Pastane Ürünleri,Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Hamur Tatlıları,Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler"
Sıcak İçecekler (Servis edilen),Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde içilen içecekler"
Soğuk İçecekler (Servis edilen),Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde içilen içecekler"
Ayran (Servis edilen),Lokanta ve oteller,"Lokanta, pastane, kafe vb. yerlerde içilen içecekler"
Otel Ücreti,Lokanta ve oteller,"Otel, pansyion vb. yerlerde konaklama hizmetleri"
Yurt Ücreti,Lokanta ve oteller,Diğer konaklama hizmetleri (öğrenci yurtları)
Erkek Berberi,Çeşitli mal ve hizmetler,Erkekler için kuaförlük hizmetleri
Kadın Berberi,Çeşitli mal ve hizmetler,Kadınlar için kuaförlük hizmetleri
Kişisel Bakım Hizmetleri (Kadın İçin),Çeşitli mal ve hizmetler,Kadınlar için kuaförlük hizmetleri
Elektrikli Saç Bakım Aletleri,Çeşitli mal ve hizmetler,Kişisel bakımda kullanılan elektrikli aletler
Tıraş Malzemeleri,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Ağız ve Diş Bakımı Ürünleri,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Tuvalet ve Güzellik Sabunu,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Sabun,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Parfüm,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Deodorant,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Kolonya,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Cilt ve Vücut Ürünleri,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Makyaj Malzemeleri,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Saç Bakım Ürünleri,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Tuvalet Kağıdı,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Mendil,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Bebek Bezi,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Hijyenik Kadın Bağı,Çeşitli mal ve hizmetler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler"
Mücevher (Altın),Çeşitli mal ve hizmetler,"Mücevheratlar, saat ve kol saatleri"
Saat,Çeşitli mal ve hizmetler,"Mücevheratlar, saat ve kol saatleri"
Seyahat Malzemeleri,Çeşitli mal ve hizmetler,Seyahat malzemeleri ve diğer kişisel aksesuarlar
Çanta (Kadın İçin),Çeşitli mal ve hizmetler,Seyahat malzemeleri ve diğer kişisel aksesuarlar
Okul Çantası,Çeşitli mal ve hizmetler,Seyahat malzemeleri ve diğer kişisel aksesuarlar
Güneş Gözlüğü,Çeşitli mal ve hizmetler,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar
Bebek Arabası,Çeşitli mal ve hizmetler,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar
"Yangın, Hırsızlık ve Diğer Afetler İçin Sigorta",Çeşitli mal ve hizmetler,Konut sigortası
Sağlık Sigortası,Çeşitli mal ve hizmetler,Sağlık sigortası
Kasko ve Zorunlu Trafik Sigortası,Çeşitli mal ve hizmetler,Ulaştırma sigortası
Banka ile Para Havale Ücreti,Çeşitli mal ve hizmetler,Başka yerde sınıflandırılmayan diğer mali hizmetler (para havale ücreti vb.)
Ulaşım Araçları ile İlgili Hizmet Ücreti,Çeşitli mal ve hizmetler,"Başka yerde sınıflandırılmayan diğer hizmetler (noterlik, avukatlık hizmetleri vb.)"
Avukatlık Ücreti,Çeşitli mal ve hizmetler,"Başka yerde sınıflandırılmayan diğer hizmetler (noterlik, avukatlık hizmetleri vb.)"
