,Grup,Ürün,Ağırlık,Group_Number,Ana Grup,Üçlü,Dörtlü
99,Taze sebzeler (patates hariç),Havuç,0.0010172536086964,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
100,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",Hazır Et Yemekleri,0.0011391812858275,11,Gıda ve alkolsüz içecekler,Gıda,Et
101,Kahve,Hazır Kahve,0.0008190197944806,32,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Kahve, çay ve kakao"
102,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",Hazır Pakette Toz Tatlılar (Puding),0.0002582279057544,31,Gıda ve alkolsüz içecekler,Gıda,Başka yerde sınıflandırılamayan diğer gıda ürünleri
103,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",Hazır Sütlü Tatlılar,0.0002553337816862,15,Gıda ve alkolsüz içecekler,Gıda,"Süt, peynir ve yumurta"
104,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler","Hazır Yemekler (Pilav, Kuru Fasulye)",0.0134336032253955,128,Lokanta ve oteller,Yemek hizmetleri,Yiyecek ve içecek hizmetleri
105,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",Hazır Çorbalar,0.0004026070697995,31,Gıda ve alkolsüz içecekler,Gıda,Başka yerde sınıflandırılamayan diğer gıda ürünleri
106,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",Hijyenik Kadın Bağı,0.0008959699940686,135,Çeşitli mal ve hizmetler,Kişisel bakım,"Kişisel bakımda kullanılan diğer aletler, ürünler ve eşyalar"
107,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",Hijyenik Zeminler İçin Temizlik ve Bakım Ürünleri,0.0011785948080555,77,Ev eşyası,Ev bakım için mal ve hizmetler,Dayanıksız ev malzemeleri
108,Kadın giyim,Hırka (Kadın için),0.0008571582501306,44,Giyim ve ayakkabı,Giyim,Giysiler
109,Taze sebzeler (patates hariç),Ispanak,0.0009351528439583,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
110,Taze sebzeler (patates hariç),Kabak,0.0007782214945923,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
111,Kuru meyve ve sert kabuklu yemişler,Kabak Çekirdeği,0.0003676342558432,22,Gıda ve alkolsüz içecekler,Gıda,Meyveler
112,Erkek giyim,Kaban (Erkek için),0.0003361104093691,43,Giyim ve ayakkabı,Giyim,Giysiler
113,Kadın giyim,Kaban (Kadın için),0.0012361746286426,44,Giyim ve ayakkabı,Giyim,Giysiler
114,Çocuk giyim,Kaban Anorak (Çocuk için),0.0001113943523353,45,Giyim ve ayakkabı,Giyim,Giysiler
115,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",Kabartma Maddeleri,0.0002404922221647,31,Gıda ve alkolsüz içecekler,Gıda,Başka yerde sınıflandırılamayan diğer gıda ürünleri
116,Kadınlar için kuaförlük hizmetleri,Kadın Berberi,0.0029564622943428,133,Çeşitli mal ve hizmetler,Kişisel bakım,Kuaförler ve kişisel bakım merkezleri
117,Kahve,Kahve,0.0012150153458792,32,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Kahve, çay ve kakao"
118,Toz kakao,Kakao,5.548022117774977e-05,34,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Kahve, çay ve kakao"
119,Toz kakao,Kakaolu Toz İçecekler,1.616165752420794e-05,34,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Kahve, çay ve kakao"
120,Kırtasiye malzemeleri,Kalem,0.0003660119084851,122,Eğlence ve kültür,"Gazete, kitap ve kırtasiye",Kırtasiye ve çizim malzemeleri
121,Evle ilgili küçük bakım-tamir mal ve hizmetleri,"Kapı Aksesuarları (Anahtar, Kilit)",0.0004255605109954,76,Ev eşyası,Ev ve bahçe araç gereçleri,Küçük araçlar ve çeşitli aksesuarlar
122,"Diğer satın alınan ulaştırma hizmetleri (nakliye, kargo vb.)",Kargo Gönderme Ücreti,0.0002286950019086,104,Ulaştırma,Ulaştırma hizmetleri,Diğer satınalınan ulaştırma hizmetleri
123,Taze sebzeler (patates hariç),Karnabahar,0.0006162757786437,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
124,Taze meyveler,Karpuz,0.0030406732969904,21,Gıda ve alkolsüz içecekler,Gıda,Meyveler
125,Taze meyveler,Kavun,0.0013976814976585,21,Gıda ve alkolsüz içecekler,Gıda,Meyveler
126,Erkek giyim,Kazak (Erkek için),0.0013173597668453,43,Giyim ve ayakkabı,Giyim,Giysiler
127,Kadın giyim,Kazak (Kadın için),0.0033049258487782,44,Giyim ve ayakkabı,Giyim,Giysiler
128,Çocuk giyim,Kazak (Çocuk için),0.0007510057393933,45,Giyim ve ayakkabı,Giyim,Giysiler
129,Çikolata ve şekerlemeler,Kağıtlı Şeker,0.0018973085076035,29,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
130,Peynir,Kaşar Peyniri,0.0037986330484401,16,Gıda ve alkolsüz içecekler,Gıda,"Süt, peynir ve yumurta"
131,Çatal-bıçak takımı,"Kaşık, Çatal, Bıçak Takımı (Çelik)",0.0004443056227324,73,Ev eşyası,"Züccaciye, yemek takımı ve hanehalkı aletleri","Züccaciye, yemek takımı ve hanehalkı aletleri"
132,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",Kebaplar,0.0101256686652838,128,Lokanta ve oteller,Yemek hizmetleri,Yiyecek ve içecek hizmetleri
133,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",Kek,0.0009085630999223,4,Gıda ve alkolsüz içecekler,Gıda,Ekmek ve tahıllar
134,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",Kemer,0.0004261638321763,47,Giyim ve ayakkabı,Giyim,Diğer giysi çeşitleri ve giysi aksesuarları
135,Şeker,Kesme Şeker,0.0005187666856226,27,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
136,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",Ketçap,0.0002890649169664,31,Gıda ve alkolsüz içecekler,Gıda,Başka yerde sınıflandırılamayan diğer gıda ürünleri
137,Gerçek kira,Kiracı Tarafından Ödenen Gerçek Kira,0.0776323250899497,53,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Gerçek kira,Kiracı tarafından ödenen gerçek kira
138,Taze meyveler,Kivi,0.0002100043584529,21,Gıda ve alkolsüz içecekler,Gıda,Meyveler
139,Klima ve ısıtıcılar,Klima,0.0015022557388561,68,Ev eşyası,Ev aletleri,Elektrikli ve elektriksiz büyük ev aletleri
140,"Alkolsüz içecekler (meşrubat, ayran vb.)",Kola,0.0022149776010189,36,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Maden suyu, alkolsüz içecekler, meyve ve sebze suları"
141,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",Kolonya,0.0005476289275183,135,Çeşitli mal ve hizmetler,Kişisel bakım,"Kişisel bakımda kullanılan diğer aletler, ürünler ve eşyalar"
142,Klima ve ısıtıcılar,Kombi,0.0018661250155735,68,Ev eşyası,Ev aletleri,Elektrikli ve elektriksiz büyük ev aletleri
143,Konserve edilmiş veya işlenmiş balık,Konserve Balık,0.0002835577057439,13,Gıda ve alkolsüz içecekler,Gıda,Balık
144,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",Konserveler,0.0002964732949345,26,Gıda ve alkolsüz içecekler,Gıda,Sebze
145,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",Kraker,0.0006656344218325,4,Gıda ve alkolsüz içecekler,Gıda,Ekmek ve tahıllar
146,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",Kravat,0.0001221859766533,47,Giyim ve ayakkabı,Giyim,Diğer giysi çeşitleri ve giysi aksesuarları
147,Peynir,Krem Peynir,0.0006109784314266,16,Gıda ve alkolsüz içecekler,Gıda,"Süt, peynir ve yumurta"
148,Kuru baklagiller,Kuru Fasulye,0.0010492513404494,25,Gıda ve alkolsüz içecekler,Gıda,Sebze
149,Kuru meyve ve sert kabuklu yemişler,Kuru Kayısı,0.0003798975700708,22,Gıda ve alkolsüz içecekler,Gıda,Meyveler
150,Taze sebzeler (patates hariç),Kuru Soğan,0.0034586936164146,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
151,Giyim eşyalarının temizlenmesi ve tadilatı,Kuru Temizleme Ücreti,0.0004138486942138,48,Giyim ve ayakkabı,Giyim,"Kuru temizleme, giysi onarımı, dikişi ve kiralanması"
152,Kuru meyve ve sert kabuklu yemişler,Kuru Üzüm,0.000385123866595,22,Gıda ve alkolsüz içecekler,Gıda,Meyveler
153,Kuzu eti,Kuzu Eti,0.0099218820131355,8,Gıda ve alkolsüz içecekler,Gıda,Et
154,"Katı yakıtlar (odun, kömür)",Kömür Ücreti,0.0066757870879895,59,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar","Elektrik, gaz ve diğer yakıtlar",Katı yakıtlar
155,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),Köprü Geçiş Ücreti,5.386090036107548e-05,96,Ulaştırma,Kişisel ulaştırma araçlarının işletimi,Kişisel ulaştırma araçları ile ilgili diğer hizmetler
156,Taze sebzeler (patates hariç),Kırmızı Lahana,0.0002132229345235,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
157,Taze sebzeler (patates hariç),Kırmızı Turp,0.0002232747106542,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
158,Taze sebzeler (patates hariç),Kıvırcık,0.0010158998860969,23,Gıda ve alkolsüz içecekler,Gıda,Sebze
159,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",LPG (Araba Tüpü Dolum)  Ücreti,0.0106917228586934,94,Ulaştırma,Kişisel ulaştırma araçlarının işletimi,Kişisel ulaştırma araçlarının yakıt ve yağları
160,Kuru meyve ve sert kabuklu yemişler,Leblebi,0.0004292677134787,22,Gıda ve alkolsüz içecekler,Gıda,Meyveler
161,Taze meyveler,Limon,0.0014840025667212,21,Gıda ve alkolsüz içecekler,Gıda,Meyveler
162,Çikolata ve şekerlemeler,Lokum,0.0008253027951843,29,Gıda ve alkolsüz içecekler,Gıda,"Şeker, reçel, bal, çikolata ve şekerlemeler"
163,Su ve maden suyu,Maden Suyu ve Sodası,0.0007946072896894,35,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Maden suyu, alkolsüz içecekler, meyve ve sebze suları"
164,Makarna çeşitleri,Makarna,0.0028473760950788,5,Gıda ve alkolsüz içecekler,Gıda,Ekmek ve tahıllar
