,"Alkollü içecekler,tütün ve tütün ürünleri",Bilgi ve iletişim,Eğitim hizmetleri,"Eğlence,spor ve kültür",Gıda ve alkolsüz içecekler,Giyim ve ayakkabı,"Kişisel bakım,sosyal koruma ve çeşitli mal ve hizmetler","Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokantalar ve konaklama hizmetleri,"Mobilya,mefruşat ve evde kullanılan ekipmanlar ile rutin ev bakım ve onarımı",Sağlık,Sigorta ve finansal hizmetler,Ulaştırma,Web TÜFE
2025-05-04,111.15844789133693,96.99174055516751,117.90016756869036,111.45072464861096,112.45300290027083,112.86892604959363,115.29139171758763,120.51028246353815,114.10167393466654,113.20381027722497,122.37646596655776,99.96710578125672,110.51221875556821,113.30240114838548
2025-05-05,111.15844789133693,97.02586419065685,117.90016756869036,111.56994827307929,112.53206821124026,112.97835224399455,115.32877611022695,120.57869417004345,114.150632338828,113.43450492667321,122.37646596655776,99.96710578125672,110.53958281260319,113.37560142101786
2025-05-06,111.15844789133693,97.0029331072635,117.90016756869036,111.97786188058431,112.77974049068641,113.13309617440908,115.69074952942714,120.85025485522817,114.29779955028742,113.59276582107269,122.37646596655776,99.96710578125672,110.54111902030557,113.54441669759277
2025-05-07,111.15844789133693,96.97269472375284,117.90016756869036,111.65201735710082,112.49154917233164,112.21273688812181,115.57274531138236,121.06230439510628,114.93492431693184,113.30622151540739,122.37646596655776,99.96710578125672,109.9077532858617,113.36150026304824
2025-05-08,111.15844789133693,96.91339617217392,117.90016756869036,111.58197269794891,112.62998265553225,111.63063493789208,115.49698821077486,121.20822837170165,115.18780002281811,114.03416971738834,122.37646596655776,99.96710578125672,109.98482829647718,113.46288156622975
2025-05-09,111.15844789133693,96.9055928578405,117.90016756869036,111.47641373785596,112.15362711829641,111.7912143616461,115.31976433169126,121.29184363059751,115.14405380784302,114.03317160093292,122.37646596655776,99.96710578125672,110.010993477836,113.34631883889213
2025-05-10,111.15844789133693,96.87734054751658,117.90016756869036,111.45969465806309,111.86405336070241,111.94032732025315,115.3357308543888,121.37188955741775,114.49909545464547,113.99018899543346,122.37646596655776,99.96710578125672,110.00061535853034,113.22705225321961
2025-05-11,111.15844789133693,96.88359978377738,117.90016756869036,111.6528215877503,111.65539352238616,111.99238532779147,115.45251912572104,121.43046080497399,114.53113058030033,114.06204783375365,122.37646596655776,99.96710578125672,110.00041126201276,113.19731629360918
2025-05-12,111.15844789133693,96.94132084956642,117.90016756869036,111.81157214967175,111.83742643311517,112.16615168811408,115.65527766489791,121.51905067891506,115.22058501825035,114.21534359288077,122.37646596655776,99.96710578125672,110.00231420812699,113.36205214611519
2025-05-13,111.15844789133693,96.94132084956642,117.90016756869036,111.69621866026222,111.89475120407454,112.37714904191697,115.61729283098448,121.56484363156956,115.80714810399832,114.21619519364681,122.37646596655776,99.96710578125672,110.00221540868424,113.45116582981315
2025-05-14,111.15844789133693,96.90126477567551,117.90016756869036,111.7002298845492,112.2864947059397,112.22642784754596,115.72577348196333,121.61603696613388,116.06378214631187,114.3454592486062,122.37646596655776,99.96710578125672,110.31598148982009,113.63507447731845
2025-05-15,111.15844789133693,96.95030891940023,117.90016756869036,111.6535693881365,112.43135432656092,112.33560980180425,116.68143704824162,121.71291362533873,116.5902065533019,114.0558399466476,122.37646596655776,99.96710578125672,111.08242006433825,113.8627501408228
2025-05-16,111.15844789133693,96.99351402208345,117.90016756869036,111.7017464259229,112.22581513621151,112.74138230132586,116.69927264293734,121.77006060354653,117.34379565006616,114.06613053849799,122.37646596655776,99.96710578125672,111.08394629261753,113.91683709311727
2025-05-17,111.15844789133693,96.91082873991826,117.90016756869036,111.52662075848436,112.12109559446483,112.5779292598623,116.56462989592757,121.83286034281265,116.88921031400723,114.00837705268104,122.37646596655776,99.96710578125672,111.04420906376751,113.82345500740992
